"","sub_region_1","sub_region_2","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23"
"194","California","Monterey County",8,9,3,4,2,3,3,2,4,0,5,6,6,6,4,3,7,12,7,9,7,7,9,12,12,14,21,33,23,10,24,31,1,-4,-7,-17,-23,-18,-16,-15,-14,-15,-22,-19,-18,-13,-12,-10,-8,-16,-29,-12,-12,-16,-11,-8,-10,-20,-17,-13,-9,-11,-11,-9,-6,-14,-12,-11,-8,-8,-7,-2,-11,-8,-9,-4,-1,-1,3,-3,2,-2,2,4,12,17,-7,-2,-5,-1,-3,3,1,-3,-3,-3,3,3,8,15,8,4,4,2,2,2,7,3,6,9,10,5,7,9,1,3,4,4,1,7,11,-1,1,1,6,3,13,15,-4,1
"195","California","Napa County",8,24,15,12,6,7,8,6,8,9,9,7,10,7,6,7,9,9,6,10,4,-2,0,4,10,9,17,13,3,5,19,12,4,5,-17,-29,-30,-25,-24,-24,-21,-21,-35,-34,-26,-21,-22,-18,-19,-38,-37,-27,-19,-25,-19,-19,-28,-38,-22,-17,-18,-21,-23,-29,-26,-23,-16,-19,-16,-20,-23,-17,-18,-14,-19,-14,-14,-24,-14,-14,-6,-12,-9,-10,-5,0,-20,-12,-17,-14,-14,-16,-21,-19,-14,-14,-10,-9,-12,-8,-12,-7,-11,-10,-14,-18,-13,-8,-3,-7,-4,-8,-10,-8,-10,-6,-10,-7,-11,-9,-8,-9,-6,-8,-5,-7,-3,-2,-12,-8
"196","California","Nevada County",-7,4,-2,-2,0,3,-1,-7,-3,2,-1,0,2,1,-7,5,5,3,3,11,-1,-8,-5,3,2,2,14,12,-3,-10,7,3,-7,4,-11,-21,-18,-19,-23,-20,-18,-24,-35,-26,-26,-28,-24,-17,-26,-36,-38,-26,-25,-25,-23,-23,-24,-33,-23,-24,-18,-9,-19,-19,-16,-15,-16,-15,-9,-14,-15,-6,-6,-10,-12,-3,-6,-8,-3,-6,0,-8,0,-6,7,9,-8,-8,-7,0,-5,-7,-18,-11,-4,4,10,1,3,8,0,5,5,7,-3,-12,-1,5,9,9,16,7,-1,1,8,8,5,11,1,1,5,7,11,7,15,7,11,17,9,10
"197","California","Orange County",0,-1,1,-2,-2,0,-1,-1,-1,-2,-1,1,2,3,3,1,4,5,3,3,2,3,0,2,1,4,10,39,33,15,18,16,5,0,-3,-12,-23,-19,-20,-20,-18,-17,-18,-24,-22,-19,-17,-16,-13,-16,-26,-28,-28,-22,-31,-17,-13,-36,-26,-22,-17,-15,-15,-15,-20,-19,-16,-15,-13,-11,-9,-16,-15,-14,-15,-12,-8,-6,-13,-12,-6,-10,-7,-2,8,-1,-14,-11,-10,-10,-7,-5,-11,-14,-9,-7,-5,-3,-2,-7,-6,-8,-8,-6,-7,-3,-10,-12,-6,-5,-4,-4,-1,-7,-6,-3,-3,-1,-2,-1,-6,-7,-5,-6,-4,-2,3,-4,-10,-7
"198","California","Placer County",11,22,14,12,7,8,8,12,22,7,12,9,10,13,21,22,16,17,12,11,11,1,8,12,15,14,22,38,9,-3,33,29,15,15,1,-16,-25,-10,-7,-10,-8,-10,-25,-27,-13,-2,-3,-5,-7,-29,-42,-13,-7,-13,-11,-10,-13,-45,-19,-11,-8,-8,-12,-20,-28,-12,-1,-6,-7,-6,-17,-22,-4,4,-3,-1,0,-11,-17,1,13,1,1,2,11,5,-8,-3,-3,-4,-4,-3,-17,-10,2,2,5,6,10,9,3,6,4,7,3,0,3,3,11,7,6,4,5,4,1,6,6,5,0,4,7,1,8,5,8,8,15,9,1,5
"199","California","Plumas County",15,13,-2,-1,1,-2,-1,4,8,7,-2,1,11,8,1,9,12,11,4,6,9,7,0,1,2,14,10,34,13,-1,18,1,12,28,15,5,-1,4,-14,-7,-4,-2,-4,-8,-1,-7,5,-2,16,2,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","California","Riverside County",2,2,1,1,0,1,1,-3,0,0,0,4,4,6,4,2,6,11,8,9,8,5,6,9,5,11,7,39,32,16,23,16,7,5,4,-9,-16,-16,-14,-16,-15,-14,-17,-20,-18,-17,-12,-13,-9,-14,-21,-25,-24,-23,-25,-19,-12,-33,-26,-20,-13,-11,-13,-15,-16,-15,-13,-11,-11,-10,-8,-12,-10,-8,-8,-6,-3,-2,-6,-6,0,-5,-3,1,12,9,-9,-6,-6,-5,-4,-3,-7,-9,-5,-3,-2,1,2,1,-4,-4,-4,-2,-3,-2,-5,-11,1,3,1,-2,0,-4,-4,-2,-2,-2,-2,0,-4,-5,-3,-4,-3,-1,4,1,-8,-5
"201","California","Sacramento County",1,0,-1,0,1,0,0,2,2,-1,2,3,3,5,7,4,7,15,11,10,8,7,6,8,11,10,18,29,21,10,25,21,11,21,-7,-13,-21,-19,-17,-16,-15,-14,-18,-21,-16,-9,-6,-8,-5,-16,-27,-13,-9,-12,-11,-7,-3,-28,-18,-13,-9,-10,-11,-8,-14,-15,-10,-9,-10,-9,-8,-12,-11,-7,-7,-6,-1,-1,-5,-5,2,-3,-2,1,13,10,-11,-4,-4,-5,-2,-1,-11,-8,-3,-1,-1,1,2,-2,-4,-4,-3,-2,-1,-1,-5,-4,0,2,2,3,4,-1,-2,1,0,-2,-2,0,-4,-6,0,-1,-1,1,6,1,-8,-2
"202","California","San Benito County",0,3,4,0,-4,-4,-8,-2,-1,4,1,3,3,4,0,-1,8,13,2,4,2,3,0,6,6,11,20,33,24,2,35,15,5,-2,-8,-17,-27,-17,-16,-19,-13,-14,-16,-25,-19,-12,-16,-12,-7,-20,-33,-17,-16,-17,-13,-12,-9,-28,-19,-14,-11,-13,-17,-16,-22,-19,-12,-11,-12,-11,-7,-15,-15,-13,-12,-8,-7,-5,-18,-5,-2,-8,-4,-5,15,7,-15,-8,-15,-7,-9,-4,-12,-13,-12,-8,-7,-8,2,-1,-1,-4,-4,-4,-8,-5,-6,0,-2,-2,1,-8,2,-3,-8,-1,-4,0,-8,7,-7,-11,1,-8,-4,-5,0,1,-11,-8
"203","California","San Bernardino County",-1,0,-2,-1,-1,1,-2,-5,-3,-2,0,3,2,1,-1,-2,3,10,7,8,3,1,2,6,1,8,6,30,30,14,22,12,10,7,3,-8,-18,-14,-14,-15,-14,-16,-16,-23,-16,-16,-8,-9,-9,-13,-21,-25,-22,-23,-22,-19,-11,-32,-23,-18,-11,-9,-14,-15,-18,-13,-12,-10,-8,-10,-7,-13,-9,-8,-7,-3,-3,0,-5,-2,2,-1,2,2,15,11,-6,-3,-2,-1,-3,1,-4,-6,-2,0,3,1,5,3,1,1,0,2,-2,1,-2,-5,3,5,5,-3,2,-1,-2,1,1,2,-2,2,-1,-2,1,0,1,-1,7,4,-5,-1
"204","California","San Diego County",-1,-1,-3,-2,-2,0,0,-5,-2,-3,-1,1,1,3,2,-1,1,5,2,3,4,2,1,2,-2,3,8,26,17,7,15,8,-4,3,-3,-15,-23,-21,-20,-22,-22,-19,-22,-26,-22,-21,-18,-19,-15,-23,-28,-29,-29,-26,-26,-34,-17,-38,-29,-25,-21,-18,-20,-21,-26,-22,-20,-19,-18,-17,-16,-21,-19,-18,-19,-16,-12,-11,-16,-15,-10,-13,-11,-7,-1,-7,-18,-14,-13,-12,-10,-10,-16,-15,-12,-11,-9,-6,-7,-10,-12,-11,-10,-9,-8,-7,-13,-11,-8,-7,-7,-7,-8,-10,-9,-6,-6,-6,-6,-6,-10,-12,-9,-9,-7,-6,-3,-8,-14,-10
"205","California","San Francisco County",2,-2,2,2,-2,-1,1,0,1,2,4,3,3,5,3,4,10,12,5,6,6,1,-4,7,10,8,16,17,1,-1,32,-11,-18,-16,-16,-22,-30,-28,-28,-25,-26,-27,-32,-37,-29,-28,-28,-28,-29,-39,-41,-40,-28,-34,-32,-32,-33,-48,-36,-34,-35,-37,-36,-36,-42,-39,-36,-36,-37,-35,-36,-41,-37,-35,-38,-34,-32,-32,-37,-33,-30,-32,-30,-30,-28,-33,-37,-31,-33,-34,-30,-29,-35,-32,-28,-30,-28,-24,-27,-29,-29,-26,-29,-30,-28,-30,-36,-32,-29,-28,-26,-26,-26,-29,-25,-24,-28,-30,-29,-29,-33,-30,-27,-27,-24,-25,-27,-31,-29,-27
"206","California","San Joaquin County",3,4,4,1,0,3,1,3,5,2,1,3,6,6,7,8,9,11,9,10,8,6,7,8,7,8,14,22,23,15,30,19,10,10,2,-7,-15,-13,-14,-15,-12,-13,-17,-16,-15,-11,-9,-8,-4,-12,-21,-10,-10,-12,-11,-6,-1,-18,-14,-12,-6,-6,-7,-6,-8,-9,-7,-8,-6,-5,-3,-4,-4,-3,-4,-1,2,5,2,2,5,0,4,4,19,20,-4,-2,0,1,2,6,-2,-2,0,3,6,7,10,9,6,3,4,7,4,6,0,7,6,6,7,5,7,5,4,2,2,3,0,7,5,1,2,1,4,4,13,11,-3,0
"207","California","San Luis Obispo County",9,15,13,2,4,7,3,2,5,6,3,1,5,4,5,4,5,10,4,7,5,3,4,5,-1,9,16,34,22,8,20,11,21,6,-15,-23,-32,-19,-20,-20,-21,-18,-27,-29,-20,-17,-14,-17,-17,-24,-39,-19,-22,-22,-23,-16,-19,-41,-26,-23,-17,-18,-20,-22,-23,-18,-14,-12,-13,-9,-11,-13,-9,-8,-7,-8,-6,-7,-9,-5,-1,-3,-4,2,7,4,-6,-6,-4,-7,-3,0,-5,-4,-4,-1,-2,4,7,12,3,0,1,0,-2,0,-2,-2,2,7,7,2,4,2,3,4,5,1,2,6,4,3,1,4,1,5,8,6,-2,0
"208","California","San Mateo County",0,2,6,2,0,1,0,2,8,2,6,7,7,9,10,15,12,11,6,8,8,6,7,6,9,11,20,28,14,11,47,0,-9,-7,-7,-16,-22,-21,-19,-17,-18,-18,-24,-26,-19,-15,-18,-16,-16,-27,-32,-29,-18,-22,-22,-19,-20,-35,-26,-23,-21,-20,-20,-20,-23,-24,-20,-21,-19,-18,-18,-21,-21,-18,-22,-19,-15,-16,-15,-17,-12,-15,-13,-10,-4,-5,-23,-14,-17,-17,-14,-14,-18,-18,-14,-15,-11,-7,-11,-10,-9,-8,-11,-11,-11,-14,-15,-14,-10,-10,-6,-9,-9,-11,-12,-7,-10,-10,-9,-8,-12,-14,-9,-9,-7,-4,-4,-7,-15,-9
"209","California","Santa Barbara County",0,4,0,-2,0,0,-2,1,0,0,0,0,1,2,1,4,4,8,6,7,5,4,4,7,6,11,21,38,23,12,16,14,9,6,-4,-13,-24,-16,-17,-17,-19,-18,-18,-17,-20,-17,-14,-15,-12,-15,-26,-17,-22,-20,-19,-15,-12,-27,-25,-20,-14,-16,-18,-17,-14,-18,-16,-15,-13,-11,-10,-10,-15,-15,-14,-11,-7,-6,-5,-11,-5,-8,-4,-3,6,6,-13,-8,-9,-10,-8,-5,-6,-11,-9,-7,-4,-4,-1,3,-8,-7,-8,-5,-7,-4,-4,-7,-3,-1,-1,-3,1,-2,-5,-3,-1,-2,-2,0,-1,-6,-3,-5,-6,-3,2,1,-10,-5
"210","California","Santa Clara County",-3,-4,4,-3,-3,-2,-5,-1,1,1,2,3,5,6,9,6,9,7,5,5,5,0,-2,3,6,10,16,28,11,1,49,-5,-12,-10,-12,-25,-33,-23,-23,-23,-21,-22,-31,-33,-25,-23,-22,-21,-22,-31,-45,-30,-24,-26,-24,-24,-26,-43,-30,-28,-25,-24,-25,-27,-33,-27,-24,-24,-23,-23,-25,-30,-24,-23,-23,-20,-18,-21,-26,-19,-14,-18,-16,-14,-11,-15,-23,-18,-18,-17,-16,-19,-27,-20,-16,-15,-12,-9,-16,-21,-12,-14,-15,-13,-15,-18,-24,-15,-13,-11,-7,-9,-13,-19,-12,-9,-12,-10,-11,-14,-19,-14,-11,-12,-8,-6,-9,-15,-16,-11
"211","California","Santa Cruz County",9,7,7,3,3,5,6,8,9,4,6,5,5,5,9,3,8,12,10,12,7,8,11,9,12,13,24,26,14,7,33,8,-7,-8,-9,-19,-23,-17,-21,-21,-20,-20,-25,-27,-21,-16,-16,-16,-16,-26,-37,-22,-19,-25,-23,-20,-16,-33,-25,-22,-21,-21,-22,-22,-19,-22,-19,-19,-18,-17,-17,-19,-19,-18,-22,-19,-17,-17,-16,-16,-11,-16,-13,-10,1,-4,-19,-14,-16,-15,-14,-10,-20,-13,-15,-15,-10,-8,-2,-2,-7,-8,-8,-9,-14,-11,-8,-11,-8,-5,-6,-7,-3,-6,-9,-6,-7,-6,-8,-2,-3,-11,-8,-8,-4,-6,2,2,-10,-8
"212","California","Shasta County",6,2,-1,5,3,4,0,6,1,3,7,10,7,7,8,10,10,19,13,12,4,3,4,7,13,12,21,18,14,11,32,17,14,22,5,-2,-6,-9,-8,-7,-5,-12,-13,-15,-11,-3,2,0,-1,-13,-11,-5,-3,-3,-6,-5,3,-20,-11,-3,0,-1,-7,-6,-4,-4,2,2,0,-4,-1,2,0,7,7,8,6,5,12,8,16,10,10,6,20,27,4,4,8,7,1,5,3,-1,12,14,14,9,15,16,4,14,13,13,4,2,12,14,18,20,19,10,15,12,13,15,16,14,4,10,16,9,17,13,15,6,16,21,9,14
"213","California","Siskiyou County",7,12,-4,3,1,4,-3,-1,2,7,6,3,11,7,6,3,8,20,12,19,3,-5,-3,6,11,12,11,19,13,-3,29,20,19,23,9,0,-8,-5,-4,-6,-2,-13,-11,-20,-12,-9,-2,0,-1,-15,-17,NA,NA,NA,NA,2,NA,-10,-1,2,3,9,5,7,NA,8,5,1,8,4,5,NA,4,15,7,18,15,11,13,20,25,18,24,23,NA,NA,10,9,10,13,7,8,8,7,14,15,22,21,32,39,16,26,22,26,16,12,22,23,33,35,33,23,28,23,21,29,22,30,27,31,31,25,34,28,32,29,50,54,26,35
"214","California","Solano County",-3,-4,-1,-1,-2,-1,-3,1,3,-1,2,3,3,4,5,5,5,10,6,3,1,3,3,5,6,11,22,30,18,11,37,21,17,6,-3,-8,-16,-17,-14,-11,-14,-13,-18,-21,-17,-7,-7,-5,-4,-14,-23,-12,-5,-9,-8,-8,-4,-28,-19,-11,-8,-11,-14,-13,-17,-16,-8,-10,-11,-11,-9,-12,-11,-6,-9,-6,-6,-5,-7,-6,2,-6,-4,-5,13,6,-14,-6,-6,-9,-7,-3,-10,-10,-3,-4,-3,-4,1,-2,-3,-2,-3,-6,-8,-2,-8,-5,-3,-1,-3,-4,2,-5,-5,-2,-4,-5,-7,0,-6,-10,-2,-4,-5,-5,3,-2,-12,-6
"215","California","Sonoma County",6,7,5,3,1,3,6,7,7,2,4,2,7,7,8,7,6,9,7,6,7,6,5,5,8,7,16,20,16,10,25,22,-11,-9,-9,-12,-18,-19,-16,-19,-16,-16,-18,-22,-20,-17,-14,-14,-13,-21,-24,-21,-18,-20,-18,-12,-14,-29,-23,-19,-17,-15,-18,-17,-21,-20,-17,-17,-15,-14,-13,-15,-16,-13,-15,-13,-8,-11,-10,-12,-5,-11,-7,-5,6,2,-18,-11,-15,-12,-9,-9,-12,-12,-10,-10,-5,-4,-3,-2,-7,-7,-7,-4,-8,-7,-9,-9,-5,-4,-2,-3,-1,-4,-7,-4,-4,-3,-4,0,-2,-7,-3,-4,-2,-2,5,2,-9,-6
"216","California","Stanislaus County",-3,0,-1,-1,-1,0,-2,-1,0,0,0,2,3,6,5,4,8,10,7,8,6,3,5,7,7,9,17,24,19,18,31,22,14,12,1,-12,-17,-18,-14,-19,-15,-14,-17,-19,-16,-13,-7,-9,-5,-11,-25,-13,-12,-15,-13,-9,-4,-17,-15,-10,-5,-6,-7,-6,-7,-9,-5,-6,-5,-5,-3,-4,-5,-2,-3,-1,3,3,3,2,6,1,4,5,18,22,-3,1,-1,0,1,3,-3,-2,2,3,3,5,8,7,2,2,2,3,4,4,3,5,6,5,4,5,5,4,3,4,1,0,1,3,3,1,2,1,3,2,9,8,-4,-2
"217","California","Sutter County",3,2,5,5,2,2,4,4,2,2,6,6,6,10,11,12,14,16,12,16,12,15,7,16,12,11,20,29,30,11,39,17,19,18,-3,-8,-20,-14,-13,-12,-13,-14,-17,-18,-16,-10,-8,-6,-2,-13,-21,-5,-11,-10,-5,-9,-4,-33,-14,-8,-5,-7,-8,-7,-11,-9,-5,-8,-4,-7,-6,-11,-6,-2,-5,-2,2,0,-1,2,8,-1,4,7,18,17,-2,2,-2,0,2,4,-1,0,4,3,4,5,5,3,-3,5,4,6,3,4,2,8,7,7,9,7,9,4,6,2,2,1,1,5,-1,0,1,1,4,3,9,3,-3,-1
"218","California","Tehama County",10,9,1,8,4,1,-1,6,7,3,9,17,9,11,14,12,14,26,13,12,8,6,12,14,17,11,19,15,14,19,24,6,17,24,8,1,0,-4,-9,-3,-9,-9,-2,-9,-6,-3,8,1,5,-4,-5,1,-10,0,-3,-2,11,-8,-6,-4,10,4,6,10,8,7,6,8,4,3,10,17,12,18,11,11,17,21,16,22,22,21,14,16,41,40,8,11,18,10,14,15,14,4,19,19,15,20,24,22,13,18,17,16,11,17,19,25,29,32,28,14,21,15,14,19,19,15,10,18,20,13,18,20,19,14,23,22,10,18
"219","California","Trinity County",10,19,2,17,27,-14,-13,18,22,5,-10,25,-8,15,19,15,30,4,3,9,8,6,9,23,17,29,-8,25,11,7,36,-9,26,18,0,3,6,18,-21,-16,-12,-11,-15,-20,-11,-19,-4,-16,-18,-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","California","Tulare County",1,2,0,3,1,5,-2,0,4,-1,1,3,6,4,7,8,9,14,10,12,7,7,10,9,6,11,29,31,28,22,14,21,18,15,6,-5,-8,-8,-10,-13,-7,-9,-10,-13,-13,-10,-5,1,0,0,-12,-7,-10,-14,-6,-7,-2,-13,-14,-8,-6,-4,-11,-8,-8,-8,-5,-4,-1,-5,-1,-2,-2,-2,-2,4,4,7,8,5,9,4,8,6,20,23,0,4,1,6,1,6,4,0,4,4,8,2,8,7,2,4,2,7,2,3,4,5,10,10,12,8,11,8,6,8,5,7,3,7,5,3,6,4,8,4,11,10,0,2
"221","California","Tuolumne County",22,33,6,12,6,6,6,3,13,0,3,-5,5,9,5,5,3,14,7,12,5,4,1,1,4,10,24,21,6,5,3,19,17,27,10,-6,-11,-6,-3,-7,-4,-9,-15,-17,-3,-1,5,8,-4,-3,-31,NA,NA,NA,NA,-6,1,-28,-1,4,6,12,0,-4,-2,4,15,11,13,6,5,8,11,13,15,17,13,20,17,19,25,19,22,21,NA,NA,13,9,12,16,16,NA,NA,3,13,15,23,25,NA,NA,17,23,20,25,17,NA,NA,21,30,18,32,19,NA,NA,20,23,17,28,21,NA,NA,23,30,20,30,35,NA,NA,25,26
"222","California","Ventura County",-2,0,-1,-1,-1,-1,-2,-1,1,-2,0,-1,-6,-5,-7,-7,-7,-5,-4,-5,-4,-6,-6,-6,-5,6,13,34,23,15,10,11,9,10,1,-13,-24,-19,-20,-20,-20,-17,-21,-24,-21,-18,-14,-18,-15,-22,-29,-26,-30,-24,-32,-18,-18,-37,-26,-23,-16,-16,-17,-20,-21,-20,-17,-14,-13,-13,-13,-14,-17,-14,-15,-12,-9,-10,-12,-13,-7,-10,-9,-7,4,-2,-18,-13,-12,-11,-10,-7,-11,-16,-10,-9,-7,-6,-4,-4,-8,-10,-8,-8,-9,-6,-7,-11,-6,-4,-5,-6,-4,-6,-10,-6,-4,-5,-7,-3,-6,-10,-7,-8,-8,-5,-1,-5,-15,-9
"223","California","Yolo County",3,1,-5,3,1,2,-2,3,13,-5,1,4,3,3,7,15,1,5,2,3,-2,-2,5,-1,3,2,12,16,8,11,14,12,7,-1,-15,-15,-22,-21,-22,-23,-18,-20,-27,-23,-21,-13,-11,-15,-13,-26,-28,-20,-16,-16,-16,-16,-9,-31,-24,-21,-17,-17,-20,-14,NA,-22,-14,-13,-11,-14,-8,NA,-14,-14,-14,-12,-8,-4,NA,-11,-4,-10,-9,-4,9,5,-15,-8,-8,-12,-10,-6,-10,-11,-8,-7,-2,-3,-1,-4,-9,-5,-5,-7,-6,-4,-7,-4,1,0,-1,-1,-1,-4,-6,-3,-3,-4,-6,-1,-6,-11,-5,-4,-5,-3,1,1,-11,-6
"224","California","Yuba County",-1,3,-9,-6,0,3,2,5,4,-1,0,0,8,7,7,8,2,17,12,12,8,0,3,7,9,8,16,24,22,16,30,22,20,27,8,1,-4,-13,-10,-13,-7,-12,-13,-12,-11,-8,-5,1,2,-10,-15,-3,-6,-9,-1,-5,9,-13,-6,-6,-2,1,-4,4,1,-7,-2,-3,3,-2,11,7,0,2,1,8,12,12,13,5,15,4,15,14,34,37,3,4,3,8,11,16,4,1,3,3,22,16,25,32,20,11,14,17,17,20,26,18,21,21,24,22,30,26,17,10,12,10,7,13,24,8,13,11,16,10,27,29,9,6
"225","Colorado","Adams County",4,5,3,3,-3,8,9,15,7,10,3,9,8,10,7,8,12,17,13,15,15,19,19,15,18,20,31,38,20,13,25,18,12,-13,0,-2,-5,8,-3,-4,-24,-23,-25,-25,-17,-12,-12,-19,-14,-14,-15,-12,-9,-10,-10,-7,-4,-39,-24,-14,-9,-29,-14,-18,-16,-12,-12,-12,-11,-12,-10,-12,-5,-4,-7,-7,-5,-9,-4,-5,1,-5,-4,-1,7,12,-10,-5,-5,-4,-5,0,-2,-1,0,1,1,4,-1,-13,3,0,-2,0,0,-2,-2,5,6,4,6,7,0,5,3,3,4,4,4,-1,0,4,6,3,3,3,7,2,2,4
"226","Colorado","Alamosa County",1,5,5,19,8,9,19,4,10,9,7,21,17,31,19,12,19,27,22,26,16,10,22,19,21,23,36,34,29,25,22,32,22,14,18,5,9,4,6,10,-32,-19,-21,-28,-31,-4,-3,-17,-1,-8,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,8,NA,10,10,NA,NA,NA,-1,NA,4,7,NA,NA,NA,18,NA,23,14,NA,NA,NA,10,NA,15,16,NA,NA,NA,14,NA,20,6,NA,NA,NA,8,NA
"227","Colorado","Arapahoe County",1,2,3,-2,-5,2,-3,0,-12,-4,-12,0,1,3,1,1,2,7,3,4,5,6,1,6,7,12,25,27,15,3,19,11,8,-22,-5,-7,-13,1,-8,-10,-26,-28,-28,-30,-24,-21,-19,-27,-21,-22,-25,-19,-18,-18,-17,-14,-12,-45,-33,-24,-18,-33,-18,-23,-21,-19,-20,-19,-19,-19,-18,-20,-15,-15,-15,-14,-11,-14,-10,-11,-8,-11,-9,-4,3,0,-15,-10,-8,-7,-8,-7,-11,-6,-5,-3,-2,0,-6,-19,-3,-5,-7,-4,-5,-7,-9,-1,0,0,1,2,-7,-4,-2,-4,-2,0,-1,-7,-7,-2,-2,-3,-2,-2,-1,-7,-5,-4
"228","Colorado","Archuleta County",26,24,18,15,10,14,15,1,3,12,22,14,16,18,13,13,5,22,11,23,16,21,29,25,36,29,43,28,29,41,37,51,17,-4,7,-12,-10,-8,-5,0,-22,-30,-27,-28,-21,-9,-9,-15,-11,-27,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Colorado","Bent County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Colorado","Boulder County",1,-1,1,-1,-7,-1,1,8,-1,0,-1,2,4,8,10,3,3,10,7,6,11,14,8,9,9,16,28,35,19,4,17,7,3,-25,-8,-7,-17,-13,-14,-17,-34,-31,-27,-32,-31,-25,-27,-32,-24,-27,-30,-28,-26,-26,-27,-18,-15,-54,-40,-33,-29,-48,-29,-27,-30,-29,-30,-29,-29,-28,-23,-27,-25,-25,-26,-25,-18,-20,-17,-22,-16,-21,-20,-13,-4,-12,-27,-19,-21,-22,-16,-12,-18,-18,-15,-14,-12,-6,-10,-26,-15,-13,-16,-15,-9,-10,-14,-11,-10,-11,-11,-6,-11,-11,-12,-11,-12,-12,-7,-9,-12,-12,-9,-11,-14,-9,-4,-13,-14,-11
