,,,,,CONSUMERS ONLY,,,,,,,,,,
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,"Legumes, nuts and oilseeds",A.01.000486,187,53.7%,5.66,7.46,0.26,0.47,3.86,16.61,25.91,36.18, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Fruit and fruit products,A.01.000544,344,98.9%,106.06,68.61,16.67,25.67,95.03,233.88,258.50,307.26, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Meat and meat products (including edible offal),A.01.000727,335,96.3%,35.34,25.06,5.50,9.17,30.80,87.52,97.65,118.17, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,"Fish and other seafood (including amphibians, rept",A.01.000876,147,42.2%,12.24,12.58,0.79,1.75,9.90,27.76,44.70,57.74, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Milk and dairy products,A.01.000948,344,98.9%,263.95,170.76,25.79,53.91,235.05,566.60,648.61,762.00, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Eggs and egg products,A.01.001252,285,81.9%,8.54,8.30,0.46,0.93,6.22,24.85,30.53,39.67, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Sugar and confectionary,A.01.001267,331,95.1%,12.90,9.90,0.74,2.00,11.20,32.75,38.33,43.61, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Animal and vegetable fats and oils,A.01.001346,343,98.6%,7.82,5.33,1.23,1.97,7.02,17.41,19.98,22.96, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Fruit and vegetable juices,A.01.001394,289,83.0%,118.37,110.56,0.50,8.33,85.68,356.67,424.52,493.00, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Non-alcoholic beverages (excepting milk based beve,A.01.001470,303,87.1%,252.66,251.76,20.83,33.33,179.67,775.67,"1,004.00","1,127.83", 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Alcoholic beverages,A.01.001534,29,8.3%,9.86,23.49,0.00,0.02,0.49,67.83,89.15,89.15, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Drinking water (water without any additives except,A.01.001573,342,98.3%,207.68,184.09,10.77,25.21,167.17,530.36,717.79,822.33, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,"Herbs, spices and condiments",A.01.001580,341,98.0%,10.14,11.10,0.23,0.51,6.41,32.02,37.32,48.40, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Food for infants and small children,A.01.001715,165,47.4%,178.79,187.14,3.00,8.00,110.00,572.75,590.00,792.67, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Products for special nutritional use,A.01.001748,12,3.4%,13.18,26.90,0.12,0.67,2.50,83.33,83.33,83.33, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,Composite food (including frozen products),A.01.001789,122,35.1%,12.71,16.31,0.43,0.72,6.16,51.99,55.52,75.63, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Toddlers,"Snacks, desserts, and other foods",A.01.001877,277,79.6%,30.39,28.71,1.67,5.00,22.17,88.33,107.50,144.00, 
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Grains and grain-based products,A.01.000001,293,100.0%,148.09,53.89,72.67,85.69,140.81,245.38,261.89,292.56,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Vegetables and vegetable products (including fungi,A.01.000317,291,99.3%,62.01,39.79,10.02,16.09,56.91,141.30,151.71,192.71,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Starchy roots and tubers,A.01.000467,277,94.5%,41.32,25.00,7.32,12.19,38.72,89.67,100.00,106.83,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,"Legumes, nuts and oilseeds",A.01.000486,174,59.4%,5.92,6.71,0.29,0.67,4.17,19.43,24.88,29.05,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Fruit and fruit products,A.01.000544,288,98.3%,111.39,67.48,18.33,33.33,102.38,249.07,266.40,297.67,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Meat and meat products (including edible offal),A.01.000727,288,98.3%,46.84,27.91,10.36,14.00,41.50,101.09,108.93,133.12,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,"Fish and other seafood (including amphibians, rept",A.01.000876,131,44.7%,14.82,11.71,1.55,2.95,12.87,33.26,40.03,47.57,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Milk and dairy products,A.01.000948,291,99.3%,259.98,158.11,53.03,78.78,230.42,544.67,620.65,886.14,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Eggs and egg products,A.01.001252,252,86.0%,11.37,10.89,0.52,1.15,9.08,33.57,43.31,44.77,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Sugar and confectionary,A.01.001267,289,98.6%,20.37,13.91,4.25,6.45,17.41,48.91,54.75,75.78,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Animal and vegetable fats and oils,A.01.001346,292,99.7%,10.64,6.43,2.21,3.53,9.50,22.27,27.58,32.63,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Fruit and vegetable juices,A.01.001394,252,86.0%,148.62,150.32,3.55,17.12,105.42,412.20,479.50,606.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Non-alcoholic beverages (excepting milk based beve,A.01.001470,271,92.5%,267.15,221.79,32.17,45.50,212.67,648.33,786.67,"1,061.50","Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Alcoholic beverages,A.01.001534,38,13.0%,14.47,25.83,0.03,0.05,0.63,86.27,106.67,106.67,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Drinking water (water without any additives except,A.01.001573,288,98.3%,205.10,174.48,7.49,28.00,159.60,532.76,584.13,851.95,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,"Herbs, spices and condiments",A.01.001580,291,99.3%,14.28,14.34,0.64,1.37,9.71,41.71,49.75,63.80,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Food for infants and small children,A.01.001715,45,15.4%,94.93,152.96,2.00,3.83,39.33,325.00,426.83,873.33,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Products for special nutritional use,A.01.001748,19,6.5%,24.02,45.87,0.22,0.67,2.50,166.67,166.67,166.67,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,Composite food (including frozen products),A.01.001789,122,41.6%,15.86,16.70,0.45,0.77,9.15,51.03,64.95,72.40,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Consumption Survey of Food Intake among Infants and Young Children,Other children,"Snacks, desserts, and other foods",A.01.001877,254,86.7%,40.13,30.44,5.00,8.87,34.21,105.08,112.17,146.17,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Grains and grain-based products,A.01.000001,257,98.5%,80.47,40.24,18.27,25.92,78.22,145.70,168.52,173.18,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Vegetables and vegetable products (including fungi,A.01.000317,230,88.1%,58.84,45.58,8.00,11.80,47.43,145.63,168.74,222.57,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Starchy roots and tubers,A.01.000467,188,72.0%,39.70,29.56,6.67,8.47,32.50,99.50,119.13,136.07,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,"Legumes, nuts and oilseeds",A.01.000486,55,21.1%,6.97,7.70,0.33,0.70,5.27,24.20,24.87,40.03,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Fruit and fruit products,A.01.000544,243,93.1%,105.50,73.93,10.07,20.54,91.67,240.67,281.26,322.88,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Meat and meat products (including edible offal),A.01.000727,233,89.3%,27.17,19.87,2.67,5.07,22.77,60.53,81.43,90.33,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,"Fish and other seafood (including amphibians, rept",A.01.000876,76,29.1%,16.92,11.65,1.87,5.30,15.73,41.00,46.67,53.97,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Milk and dairy products,A.01.000948,252,96.6%,257.76,187.51,10.53,28.67,218.65,593.67,630.77,826.23,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Eggs and egg products,A.01.001252,107,41.0%,14.31,13.23,1.13,1.37,10.00,40.47,46.00,50.10,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Sugar and confectionary,A.01.001267,148,56.7%,8.46,8.26,0.17,0.67,6.67,23.00,34.03,41.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Animal and vegetable fats and oils,A.01.001346,247,94.6%,6.85,4.90,0.73,1.23,5.97,16.00,19.00,21.40,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Fruit and vegetable juices,A.01.001394,148,56.7%,101.24,100.15,4.90,15.13,72.12,260.23,333.08,605.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Non-alcoholic beverages (excepting milk based beve,A.01.001470,44,16.9%,95.05,143.64,2.53,3.90,48.33,283.50,567.00,763.33,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Alcoholic beverages,A.01.001534,5,1.9%,16.21,28.48,0.93,0.93,1.67,66.67,66.67,66.67,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Drinking water (water without any additives except,A.01.001573,261,100.0%,440.85,281.84,96.67,138.70,386.00,935.83,"1,167.80","1,345.93","Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,"Herbs, spices and condiments",A.01.001580,182,69.7%,3.70,7.40,0.00,0.01,0.83,22.27,27.30,37.62,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Food for infants and small children,A.01.001715,177,67.8%,192.65,184.99,15.23,33.33,120.60,557.97,643.33,859.37,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,Composite food (including frozen products),A.01.001789,98,37.5%,30.05,29.70,0.50,1.53,22.67,99.33,101.33,166.00,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Toddlers,"Snacks, desserts, and other foods",A.01.001877,142,54.4%,31.14,31.63,1.67,3.67,18.33,100.00,119.33,123.33,"Number of observations lower than 300, the 99th may not be statistically robust"
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Grains and grain-based products,A.01.000001,660,100.0%,157.56,60.96,67.12,81.00,150.30,269.29,291.27,320.60, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Vegetables and vegetable products (including fungi,A.01.000317,647,98.0%,83.19,56.41,10.00,18.00,73.53,193.07,234.40,256.72, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Starchy roots and tubers,A.01.000467,552,83.6%,42.56,30.93,6.67,10.00,36.00,100.63,122.51,143.67, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,"Legumes, nuts and oilseeds",A.01.000486,213,32.3%,11.12,12.58,1.00,1.40,7.83,36.37,47.80,56.67, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Fruit and fruit products,A.01.000544,636,96.4%,128.19,81.92,19.33,34.33,114.18,285.33,320.67,369.19, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Meat and meat products (including edible offal),A.01.000727,649,98.3%,53.77,33.60,8.40,14.33,47.81,116.33,128.94,144.73, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,"Fish and other seafood (including amphibians, rept",A.01.000876,246,37.3%,24.98,17.74,4.67,6.67,22.08,57.00,64.40,75.27, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Milk and dairy products,A.01.000948,659,99.8%,270.46,182.50,46.67,77.58,233.60,588.63,725.92,887.33, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Eggs and egg products,A.01.001252,424,64.2%,17.34,13.68,1.00,1.76,16.67,43.27,47.53,56.33, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Sugar and confectionary,A.01.001267,642,97.3%,26.56,21.06,3.86,5.67,21.45,70.30,82.13,94.33, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Animal and vegetable fats and oils,A.01.001346,644,97.6%,10.76,7.27,1.50,2.53,9.52,24.53,27.17,31.53, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Fruit and vegetable juices,A.01.001394,504,76.4%,196.65,162.67,13.33,26.00,163.63,499.33,587.37,699.20, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Non-alcoholic beverages (excepting milk based beve,A.01.001470,382,57.9%,244.69,239.73,16.67,33.33,166.67,816.67,953.33,"1,066.67", 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Alcoholic beverages,A.01.001534,38,5.8%,77.03,71.75,0.17,0.53,66.67,176.67,297.33,297.33, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Drinking water (water without any additives except,A.01.001573,657,99.5%,497.94,311.79,110.00,167.67,436.27,"1,076.70","1,250.00","1,600.00", 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,"Herbs, spices and condiments",A.01.001580,641,97.1%,8.89,12.14,0.07,0.27,4.57,33.80,44.10,55.37, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Food for infants and small children,A.01.001715,60,9.1%,91.53,140.96,5.33,10.00,43.30,345.90,468.13,893.33, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Products for special nutritional use,A.01.001748,1,0.2%,3.33,0.00,3.33,3.33,3.33,3.33,3.33,3.33, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,Composite food (including frozen products),A.01.001789,386,58.5%,49.60,51.07,1.30,4.17,35.62,136.67,177.73,268.00, 
Germany,Dortmund Nutritional and Anthropometrical Longitudinally Designed (DONALD) Study 2006-2008,Other children,"Snacks, desserts, and other foods",A.01.001877,541,82.0%,55.76,47.84,6.67,11.67,44.00,143.00,188.33,226.33, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Grains and grain-based products,A.01.000001,835,100.0%,216.46,76.42,109.73,128.25,205.66,358.97,381.52,421.62, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Vegetables and vegetable products (including fungi,A.01.000317,830,99.4%,100.23,71.34,17.25,26.13,85.40,232.77,284.72,320.17, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Starchy roots and tubers,A.01.000467,714,85.5%,67.43,47.62,13.00,20.67,55.79,162.78,187.43,207.67, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,"Legumes, nuts and oilseeds",A.01.000486,388,46.5%,13.12,15.67,0.59,1.12,7.93,45.82,60.09,76.30, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Fruit and fruit products,A.01.000544,805,96.4%,147.64,97.23,20.00,37.71,130.00,323.01,369.98,427.30, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Meat and meat products (including edible offal),A.01.000727,824,98.7%,77.18,44.16,19.68,27.66,70.44,158.91,185.09,222.27, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,"Fish and other seafood (including amphibians, rept",A.01.000876,281,33.7%,29.42,20.00,4.54,8.36,25.67,66.33,75.45,98.67, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Milk and dairy products,A.01.000948,835,100.0%,296.97,171.49,59.50,89.04,272.37,604.80,694.26,796.07, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Eggs and egg products,A.01.001252,749,89.7%,21.46,19.10,1.54,2.65,17.56,60.22,72.57,86.94, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Sugar and confectionary,A.01.001267,831,99.5%,40.23,26.64,8.71,12.03,34.28,92.16,110.02,123.19, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Animal and vegetable fats and oils,A.01.001346,833,99.8%,15.92,10.35,3.83,5.25,13.62,35.51,41.04,50.49, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Fruit and vegetable juices,A.01.001394,756,90.5%,240.74,211.48,0.48,10.00,196.67,616.67,729.67,"1,016.67", 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Non-alcoholic beverages (excepting milk based beve,A.01.001470,662,79.3%,297.92,234.69,50.00,66.67,250.00,733.33,853.33,"1,150.05", 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Alcoholic beverages,A.01.001534,100,12.0%,25.72,55.52,0.06,0.14,1.79,166.67,220.00,220.04, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Drinking water (water without any additives except,A.01.001573,829,99.3%,446.38,317.70,46.03,82.80,392.62,"1,046.07","1,199.75","1,383.33", 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,"Herbs, spices and condiments",A.01.001580,833,99.8%,8.77,9.60,0.84,1.25,5.76,27.89,35.41,47.77, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Products for special nutritional use,A.01.001748,92,11.0%,36.08,90.16,0.00,0.67,3.33,250.00,333.33,500.00, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,Composite food (including frozen products),A.01.001789,239,28.6%,32.38,36.44,0.78,1.31,14.45,100.45,120.11,135.64, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Other children,"Snacks, desserts, and other foods",A.01.001877,716,85.7%,34.36,41.54,0.15,0.51,22.66,116.42,132.71,168.66, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Grains and grain-based products,A.01.000001,393,100.0%,236.09,81.73,119.16,144.33,226.40,383.80,432.45,455.49, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Vegetables and vegetable products (including fungi,A.01.000317,390,99.2%,111.64,92.04,16.62,27.40,88.09,284.51,314.14,449.79, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Starchy roots and tubers,A.01.000467,345,87.8%,68.66,46.37,15.65,21.90,57.92,157.59,195.65,227.50, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,"Legumes, nuts and oilseeds",A.01.000486,183,46.6%,14.60,16.21,0.53,1.10,10.00,44.45,61.07,86.35, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Fruit and fruit products,A.01.000544,371,94.4%,145.13,113.75,6.88,23.86,123.33,373.55,444.70,483.67, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Meat and meat products (including edible offal),A.01.000727,387,98.5%,85.04,49.62,18.97,27.40,78.18,182.89,196.00,213.95, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,"Fish and other seafood (including amphibians, rept",A.01.000876,125,31.8%,35.39,25.13,5.84,8.00,31.04,86.67,95.00,122.67, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Milk and dairy products,A.01.000948,392,99.7%,291.32,175.15,55.24,83.74,266.66,596.66,745.65,812.90, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Eggs and egg products,A.01.001252,353,89.8%,22.72,19.69,1.59,2.19,19.19,59.56,73.42,84.22, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Sugar and confectionary,A.01.001267,385,98.0%,42.70,33.05,6.89,10.90,35.51,100.49,123.63,172.39, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Animal and vegetable fats and oils,A.01.001346,393,100.0%,17.81,11.58,4.30,5.97,15.39,37.15,43.30,54.95, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Fruit and vegetable juices,A.01.001394,341,86.8%,247.83,224.38,0.27,1.55,190.00,666.67,814.22,933.41, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Non-alcoholic beverages (excepting milk based beve,A.01.001470,344,87.5%,364.33,285.65,48.78,66.67,285.00,926.00,"1,150.00","1,333.33", 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Alcoholic beverages,A.01.001534,44,11.2%,28.92,99.69,0.07,0.13,0.85,166.67,220.00,600.00, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Drinking water (water without any additives except,A.01.001573,391,99.5%,506.83,391.22,16.63,84.38,434.26,"1,276.28","1,498.55","1,770.97", 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,"Herbs, spices and condiments",A.01.001580,393,100.0%,10.93,15.29,0.92,1.50,6.63,37.24,48.71,69.12, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Products for special nutritional use,A.01.001748,41,10.4%,39.28,84.33,0.67,0.67,3.33,173.33,333.33,334.67, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,Composite food (including frozen products),A.01.001789,97,24.7%,29.72,49.31,0.92,1.26,8.81,125.00,186.34,277.43, 
Germany,Eating Study as a KiGGS Module (EsKiMo),Adolescents,"Snacks, desserts, and other foods",A.01.001877,329,83.7%,30.33,32.10,0.13,0.44,24.00,89.58,101.03,137.69, 
Germany,National Nutrition Survey II,Adolescents,Grains and grain-based products,A.01.000001,"1,009",99.8%,233.89,122.82,80.00,103.00,209.25,467.75,531.20,654.00, 
Germany,National Nutrition Survey II,Adolescents,Vegetables and vegetable products (including fungi,A.01.000317,838,82.9%,85.86,74.41,5.40,12.50,65.90,231.00,282.60,342.80, 
Germany,National Nutrition Survey II,Adolescents,Starchy roots and tubers,A.01.000467,575,56.9%,92.54,60.58,25.15,31.00,70.50,218.45,228.00,298.50, 
Germany,National Nutrition Survey II,Adolescents,"Legumes, nuts and oilseeds",A.01.000486,287,28.4%,31.29,31.65,3.05,5.65,20.00,94.65,130.00,163.00, 
Germany,National Nutrition Survey II,Adolescents,Fruit and fruit products,A.01.000544,698,69.0%,162.81,156.78,10.00,20.00,115.25,480.00,592.25,732.85, 
Germany,National Nutrition Survey II,Adolescents,Meat and meat products (including edible offal),A.01.000727,926,91.6%,99.54,79.50,13.00,21.80,81.73,251.85,308.55,376.20, 
Germany,National Nutrition Survey II,Adolescents,"Fish and other seafood (including amphibians, rept",A.01.000876,120,11.9%,57.13,39.90,3.30,4.75,48.50,135.00,142.50,150.00, 
Germany,National Nutrition Survey II,Adolescents,Milk and dairy products,A.01.000948,962,95.2%,202.93,193.09,12.10,20.75,149.45,566.50,676.20,871.00, 
Germany,National Nutrition Survey II,Adolescents,Eggs and egg products,A.01.001252,142,14.0%,23.94,20.31,1.20,4.70,21.40,60.00,67.20,90.00, 
Germany,National Nutrition Survey II,Adolescents,Sugar and confectionary,A.01.001267,611,60.4%,33.36,36.43,2.00,3.50,22.50,114.00,134.00,175.25, 
Germany,National Nutrition Survey II,Adolescents,Animal and vegetable fats and oils,A.01.001346,960,95.0%,20.32,18.34,1.55,3.25,15.00,56.50,67.50,82.45, 
Germany,National Nutrition Survey II,Adolescents,Fruit and vegetable juices,A.01.001394,625,61.8%,515.17,425.55,87.50,100.00,400.00,"1,375.00","1,625.00","2,060.00", 
Germany,National Nutrition Survey II,Adolescents,Non-alcoholic beverages (excepting milk based beve,A.01.001470,819,81.0%,594.67,488.18,100.00,125.00,450.00,"1,565.00","1,940.00","2,350.00", 
Germany,National Nutrition Survey II,Adolescents,Alcoholic beverages,A.01.001534,182,18.0%,386.40,621.27,3.70,4.05,170.00,"1,445.00","2,400.00","3,655.00", 
Germany,National Nutrition Survey II,Adolescents,Drinking water (water without any additives except,A.01.001573,853,84.4%,943.98,708.61,100.00,187.50,800.00,"2,300.00","2,750.00","3,050.00", 
Germany,National Nutrition Survey II,Adolescents,"Herbs, spices and condiments",A.01.001580,745,73.7%,49.16,44.92,3.00,6.00,37.20,135.00,172.10,204.25, 
Germany,National Nutrition Survey II,Adolescents,Products for special nutritional use,A.01.001748,1,0.1%,30.00,0.00,30.00,30.00,30.00,30.00,30.00,30.00, 
Germany,National Nutrition Survey II,Adolescents,Composite food (including frozen products),A.01.001789,502,49.7%,129.83,132.66,10.45,22.50,84.35,385.00,488.85,612.50, 
Germany,National Nutrition Survey II,Adolescents,"Snacks, desserts, and other foods",A.01.001877,341,33.7%,63.33,53.54,10.00,18.00,49.50,177.25,222.50,270.00, 
Germany,National Nutrition Survey II,Adults,Grains and grain-based products,A.01.000001,"10,398",99.8%,230.27,118.04,76.00,102.15,211.00,444.50,515.75,614.25, 
