Naturalness,Taste,Price,Safety,Convenience,Nutrition,Novelty,Origin,Fairness,Appearance,Environmental Impact,Animal Welfare,Naturalness,Taste,Price,Safety,Convenience,Nutrition,Novelty,Origin,Fairness,Appearance,Environmental Impact,Animal Welfare,Weekly GroceryExpenditure,Weekly Eating Out Expenditure,Finding affordable foods that fit my budget,"Avoiding foods that contain pesticides, added hormones & antibiotics","Finding convenient, quick-to-make alternatives",Finding foods my children will eat,Losing weight,Finding time to cook at home,"Avoiding certain nutrients or ingredients (i.e. sodium, carbohydrates, trans fats, etc.)",Priceset1,Priceset2,Priceset3,Priceset4,Priceset5,Priceset6,Priceset7,Priceset8,Priceset9,Priceset10,Priceset11,Priceset12,Priceset13,Priceset14,Priceset15,Priceset16,Priceset17,Priceset18,Priceset19,Priceset20,Priceset21,Pricese22,Priceset23,Priceset24,Priceset25,Priceset26,Priceset27,Are you a vegetarian or a vegan?,Primaryshopper,FarmingExperience,CurrentlyFarm,Gender,Age,MaritalStatus,NumberInHousehold,Children<12,Weight,Height,ReceivedFoodStamps,CurrentlyOnFoodStamps,State,Education,Approximate / annual household income before taxes in 2012,"Hispanic, Latino, or Spanish origin?",Race,PoliticalInclination,PoliticalParty,LocationLatitude,LocationLongitude
1,2,0,4,0,3,0,2,,,0,1,1,3,1,1,,,,,,,1,4,6,2,6,5,3,7,1,4,2,,,,,,,,,,2,5,8,2,7,1,2,5,3,,,,,,,,,,2,1,2,2,1,6,2,2,2,200,24,2,2,48,4,6,1,1,2,1,48.739501953125,-122.48089599609
1,1,0,1,0,4,,,0,3,0,2,1,3,1,2,,,,,,,1,4,5,3,2,5,4,7,1,6,3,,,,,,,,,,9,2,4,8,6,3,5,7,1,,,,,,,,,,2,2,2,2,1,6,2,2,2,210,26,2,2,6,4,3,1,1,5,2,39.063903808594,-108.55069732666
1,2,0,1,0,2,,,0,4,,,0,3,,,,,1,3,1,4,1,1,3,1,2,3,1,7,5,4,6,1,6,6,1,4,8,9,6,6,,,,,,,,,,,,,,,,,,,2,3,2,2,1,5,2,2,2,215,20,2,2,41,3,3,1,1,3,4,32.964706420898,-80.201499938965
,,0,4,0,3,,,1,4,0,1,,,1,1,1,3,0,2,1,2,,,7,3,3,1,4,7,6,5,2,,,,,,,,,,,,,,,,,,,2,4,2,1,1,2,6,2,1,2,1,2,2,1,5,1,2,2,190,24,2,2,21,6,2,1,2,2,1,39.328796386719,-76.596702575684
0,2,0,3,0,4,,,,,1,2,1,3,1,4,,,,,0,1,1,1,3,3,3,4,2,7,5,6,1,,,,,,,,,,,,,,,,,,,4,7,4,3,8,8,5,4,4,2,1,2,2,1,6,4,1,2,200,19,2,2,38,7,3,1,1,1,1,44.121307373047,-124.00230407715
,,0,1,0,4,0,3,,,0,2,,,1,3,1,4,,,1,2,1,1,9,1,1,6,4,7,2,3,5,5,7,5,1,7,5,5,5,1,,,,,,,,,,,,,,,,,,,2,1,2,2,1,5,2,4,2,183,20,2,2,6,5,8,1,1,3,4,39.660293579102,-104.84380340576
,,0,2,0,1,,,0,4,,,,,1,4,1,2,0,3,1,1,1,3,4,2,1,5,3,6,7,2,4,,,,,,,,,,,,,,,,,,,2,4,5,3,2,3,5,5,1,2,1,2,2,1,5,2,5,2,150,22,1,2,5,3,5,1,1,5,4,32.636093139648,-117.05319976807
1,2,0,4,1,3,0,1,0,2,0,3,,,1,4,,,,,1,1,,,6,7,4,7,2,6,3,5,1,,,,,,,,,,,,,,,,,,,2,2,1,3,3,4,5,4,6,1,1,2,2,1,3,2,4,1,185,16,2,2,10,5,4,1,1,5,2,30.28010559082,-81.404998779297
0,1,0,4,,,0,2,1,2,0,3,1,1,1,4,,,1,3,,,,,7,5,3,1,4,6,7,5,2,7,6,6,7,9,5,5,7,9,,,,,,,,,,,,,,,,,,,2,3,2,2,1,3,1,4,1,185,21,2,2,5,3,3,1,1,3,4,38.784301757812,-121.37060546875
,,0,3,0,4,0,1,1,3,0,2,1,4,,,,,,,1,2,1,1,5,2,3,2,5,7,6,4,1,,,,,,,,,,5,1,2,8,5,3,7,3,5,,,,,,,,,,2,2,2,2,1,6,2,2,2,160,19,2,2,39,7,4,1,1,4,4,40.502502441406,-75.586799621582
1,2,0,3,0,4,0,1,1,3,0,2,,,1,4,,,,,1,1,,,4,1,1,2,6,7,5,4,3,,,,,,,,,,3,2,2,1,1,3,7,4,3,,,,,,,,,,2,1,1,2,1,6,4,1,2,190,19,1,2,50,3,1,1,1,3,5,43.530899047852,-89.97339630127
,,0,1,0,4,0,2,1,2,0,3,1,1,1,4,,,1,3,,,,,4,3,4,3,1,7,5,6,2,1,4,1,1,5,1,5,1,1,,,,,,,,,,,,,,,,,,,2,1,2,2,2,6,1,1,2,180,19,2,2,5,4,6,1,2,2,1,38.494995117188,-121.53050231934
1,1,0,2,0,3,0,1,0,4,,,1,4,1,3,,,,,1,2,,,9,7,5,6,3,2,4,1,7,1,3,9,1,7,5,5,1,9,,,,,,,,,,,,,,,,,,,2,1,1,1,1,5,2,5,1,220,23,1,2,18,3,3,1,1,3,2,37.963302612305,-85.702598571777
,,0,4,,,0,2,1,1,0,3,1,2,1,3,,,0,1,,,1,4,4,1,5,3,4,2,7,6,1,,,,,,,,,,,,,,,,,,,2,4,5,2,2,3,5,2,1,2,3,2,2,1,7,4,5,1,150,23,2,2,5,5,3,1,1,4,2,36.839996337891,-119.82849884033
1,2,0,2,0,1,0,3,,,,,1,1,1,3,1,4,0,4,,,,,4,3,3,4,5,7,1,2,6,,,,,,,,,,,,,,,,,,,2,9,2,1,2,2,9,2,1,2,1,2,2,2,4,2,4,2,245,17,2,2,34,5,8,1,2,1,1,35.237503051758,-77.615097045898
0,2,,,0,1,1,4,0,3,0,4,1,2,1,1,1,3,,,,,,,3,1,2,1,4,5,6,3,7,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,2,1,2,2,1,7,4,1,2,240,23,1,1,23,2,1,1,1,4,2,42.240493774414,-85.484199523926
,,0,3,0,4,0,1,1,2,0,2,1,1,,,1,4,1,3,,,,,7,3,4,1,7,6,5,2,3,,,,,,,,,,2,7,7,8,7,1,7,5,3,,,,,,,,,,2,1,2,2,2,2,2,5,1,145,20,1,2,39,3,3,1,1,3,4,40.517196655273,-78.366203308105
,,0,1,0,2,0,4,0,3,,,,,1,4,1,3,,,1,2,1,1,6,3,5,6,2,7,1,3,4,,,,,,,,,,5,5,9,5,5,7,7,5,5,,,,,,,,,,2,2,2,2,1,4,2,3,2,190,21,2,2,29,5,6,1,1,4,4,36.272903442383,-115.13330078125
1,1,0,2,0,1,,,0,3,,,1,2,,,1,3,0,4,1,4,,,4,1,2,3,6,7,4,5,1,8,3,3,8,5,5,5,5,1,,,,,,,,,,,,,,,,,,,2,1,2,2,2,6,5,2,2,150,20,2,2,24,3,2,1,1,4,4,43.675094604492,-96.252998352051
0,4,,,0,2,0,1,,,0,3,,,,,1,1,1,4,1,3,1,2,7,1,3,1,4,6,7,5,2,,,,,,,,,,,,,,,,,,,8,1,1,5,5,9,9,7,8,2,1,1,2,2,3,3,5,1,212,17,1,1,47,3,2,1,1,4,5,38.136093139648,-79.062301635742
1,4,0,1,1,3,0,2,1,2,0,4,1,1,,,,,,,,,0,3,6,2,3,5,2,7,6,1,4,1,2,8,1,5,5,3,2,5,,,,,,,,,,,,,,,,,,,2,1,2,2,2,4,4,2,2,190,16,2,2,11,4,3,1,1,3,4,34.055999755859,-84.379501342773
,,0,2,0,4,0,1,,,0,3,,,,,1,2,1,1,1,3,1,4,9,2,3,7,5,4,2,1,6,,,,,,,,,,,,,,,,,,,8,1,1,1,1,8,6,5,1,2,1,2,2,1,5,2,3,2,205,24,2,2,23,4,3,1,1,4,2,41.850006103516,-87.650001525879
,,0,4,0,3,0,1,1,4,0,2,1,3,1,1,,,,,,,1,2,6,1,5,4,3,7,1,6,2,5,3,3,8,4,5,5,1,3,,,,,,,,,,,,,,,,,,,2,1,2,2,2,6,2,2,2,160,20,1,2,33,5,5,1,1,2,1,40.859405517578,-73.212097167969
1,4,0,1,,,0,2,1,1,0,4,1,3,1,2,,,0,3,,,,,8,3,3,1,5,6,7,4,2,,,,,,,,,,4,1,6,3,5,5,3,4,1,,,,,,,,,,2,1,2,2,1,5,4,3,2,165,18,1,2,14,3,5,1,1,3,1,38.542007446289,-89.991897583008
1,3,0,3,0,2,0,1,1,2,,,1,1,1,4,,,0,4,,,,,1,1,1,5,4,7,2,6,3,,,,,,,,,,,,,,,,,,,7,4,5,1,8,7,5,5,5,2,1,2,2,2,4,4,1,2,200,14,2,2,43,5,1,1,1,3,2,36.526794433594,-82.375999450684
,,0,3,1,1,0,1,0,4,1,3,,,1,2,1,4,0,2,,,,,3,2,4,3,1,7,6,5,2,,,,,,,,,,7,8,8,8,8,7,7,7,7,,,,,,,,,,2,1,2,2,2,6,5,1,2,110,15,2,2,21,6,2,1,1,1,1,39.278396606445,-76.556999206543
,,0,3,0,4,0,2,1,3,0,1,1,2,1,1,,,,,,,1,4,3,1,4,5,1,6,2,7,3,,,,,,,,,,9,9,5,6,5,5,5,9,5,,,,,,,,,,2,1,2,2,2,7,4,1,2,160,15,1,1,33,3,1,1,1,4,4,40.758804321289,-73.968002319336
1,1,,,,,0,4,1,3,1,2,,,0,1,,,0,2,1,4,0,3,4,2,1,5,3,7,2,6,4,,,,,,,,,,,,,,,,,,,2,7,9,7,7,8,9,9,7,2,1,2,2,2,6,4,2,2,200,22,2,2,10,3,3,1,1,3,4,28.001007080078,-82.401298522949
,,0,4,0,2,0,1,,,,,1,2,1,3,1,4,0,3,,,1,1,5,2,3,1,7,2,5,4,6,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,5,1,150,16,2,2,11,3,3,1,2,6,4,33.865097045898,-84.894798278809
,,,,0,3,0,2,1,1,0,1,1,3,,,1,2,0,4,,,1,4,4,1,4,1,6,7,3,5,2,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,1,1,1,2,2,6,4,1,2,280,19,2,2,41,6,2,1,2,4,1,34.048400878906,-81.111000061035
0,1,1,4,0,4,,,1,1,0,3,1,3,1,2,,,0,2,,,,,3,2,2,1,4,6,7,3,5,,,,,,,,,,2,5,9,2,7,1,7,5,4,,,,,,,,,,2,3,2,2,2,4,2,3,2,87,19,2,2,10,3,6,1,1,3,2,29.236999511719,-81.057998657227
1,4,0,3,0,1,0,4,0,2,,,1,1,1,2,,,1,3,,,,,4,1,1,3,2,7,6,4,5,,,,,,,,,,,,,,,,,,,5,6,5,5,5,5,5,5,5,2,1,2,2,1,6,2,2,2,160,22,2,2,50,4,3,1,1,3,4,44.335998535156,-89.740303039551
,,0,2,0,3,,,0,1,,,,,1,1,1,2,0,4,1,3,1,4,6,5,4,7,2,5,6,1,3,4,2,2,1,4,1,5,5,4,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,1,2,2,175,18,2,2,44,2,3,1,1,5,2,32.563201904297,-97.141700744629
,,0,2,0,4,0,3,0,1,,,1,3,,,1,1,1,4,1,2,,,6,3,2,6,3,7,5,1,4,6,6,6,1,9,5,6,6,6,,,,,,,,,,,,,,,,,,,2,1,2,2,1,2,1,3,2,130,12,1,1,5,2,3,1,1,4,4,37.537200927734,-120.84870147705
0,4,0,3,,,1,1,,,0,1,1,2,1,3,,,0,2,1,4,,,4,2,3,4,6,7,2,5,1,,,,,,,,,,,,,,,,,,,7,7,7,7,8,8,7,7,7,1,1,2,2,2,2,1,1,2,180,14,2,2,43,5,3,1,1,3,4,35.981704711914,-84.128997802734
,,,,0,3,0,1,,,0,2,1,2,,,1,1,0,4,1,4,1,3,3,1,5,4,3,7,1,6,2,1,3,3,7,8,5,5,5,9,,,,,,,,,,,,,,,,,,,2,3,2,2,1,6,2,2,2,175,23,2,2,23,6,4,1,1,4,2,27.842803955078,-82.795501708984
0,4,1,1,1,4,0,1,,,1,3,,,0,2,,,1,2,0,3,,,4,1,3,5,6,2,1,7,4,,,,,,,,,,,,,,,,,,,7,7,1,7,7,3,5,3,1,2,1,2,2,1,5,2,2,2,210,26,2,2,6,2,3,1,1,3,1,39.700302124023,-104.84149932861
,,0,2,0,1,,,0,4,0,3,,,1,3,1,1,,,1,2,1,4,6,6,6,3,4,5,1,7,2,,,,,,,,,,,,,,,,,,,1,4,1,1,1,3,5,2,1,2,1,2,2,2,3,2,3,1,175,17,1,2,39,4,6,1,1,3,2,40.252502441406,-76.897003173828
,,0,2,0,3,0,1,1,4,0,4,1,2,1,1,1,3,,,,,,,2,3,1,5,2,7,6,3,4,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,2,1,2,2,1,7,2,1,2,210,21,2,2,10,3,3,1,1,2,4,28.244400024414,-82.693298339844
0,4,0,1,0,2,0,3,1,1,,,1,2,,,,,1,3,1,4,,,5,2,2,3,5,7,1,6,4,,,,,,,,,,8,7,5,5,7,5,5,8,5,,,,,,,,,,2,1,2,2,2,4,2,2,2,170,20,2,2,11,5,3,1,1,3,1,33.837905883789,-84.38459777832
,,0,1,,,0,4,1,2,0,2,1,4,1,1,0,3,,,,,1,3,9,2,4,6,7,1,2,5,3,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,2,1,2,2,1,3,2,4,1,214,16,2,2,23,3,3,1,1,3,1,43.187606811523,-84.855102539062
,,,,0,2,1,3,,,0,3,,,0,4,1,2,1,4,0,1,1,1,5,5,3,1,5,4,6,7,2,,,,,,,,,,,,,,,,,,,6,6,2,6,6,2,4,4,5,2,1,1,2,1,3,2,4,1,80,26,1,2,34,7,5,1,1,1,2,35.577896118164,-81.167701721191
1,2,0,4,,,0,1,0,3,1,1,1,3,0,2,,,,,1,4,,,2,7,6,2,4,7,1,5,3,,,,,,,,,,,,,,,,,,,2,4,1,1,2,2,5,2,1,2,1,2,2,2,7,2,2,2,160,16,2,2,39,3,7,1,1,3,1,40.271301269531,-80.170196533203
1,2,1,4,0,4,0,2,,,,,,,0,3,1,3,,,0,1,1,1,7,8,4,6,2,7,5,1,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,3,1,1,12,1,1,5,6,8,1,1,1,1,43.973205566406,-71.232597351074
1,1,0,2,0,3,0,1,1,4,0,4,1,2,1,3,,,,,,,,,4,1,1,5,3,7,6,4,2,1,6,6,1,4,5,5,4,4,,,,,,,,,,,,,,,,,,,2,1,2,2,2,6,2,2,2,148,15,2,2,33,2,3,1,1,3,1,43.175094604492,-78.737800598145
1,1,0,1,,,0,3,0,2,0,4,1,3,,,,,,,1,2,1,4,8,5,5,2,6,7,3,1,4,,,,,,,,,,5,5,1,5,5,4,4,5,5,,,,,,,,,,2,1,1,2,1,6,2,2,2,195,22,2,2,43,3,4,1,1,4,2,36.536499023438,-82.469802856445
0,3,,,0,4,,,1,4,0,1,1,2,0,2,1,1,,,1,3,,,4,2,5,3,4,7,2,6,1,1,3,2,1,9,5,5,5,6,,,,,,,,,,,,,,,,,,,2,1,1,2,2,4,2,2,2,157,19,1,2,50,2,3,1,1,4,2,39.739196777344,-104.98470306396
,,0,2,0,4,0,1,1,4,,,1,2,,,1,3,0,3,1,1,,,3,3,4,6,5,7,1,2,3,,,,,,,,,,3,5,8,1,9,3,9,4,9,,,,,,,,,,2,1,2,2,2,6,2,2,2,127,16,2,2,15,3,4,1,1,5,2,41.358093261719,-86.312202453613
1,3,0,1,0,2,0,3,,,,,,,1,1,1,2,0,4,,,1,4,2,1,1,5,2,7,3,4,6,,,,,,,,,,5,1,6,1,6,1,6,5,3,,,,,,,,,,2,1,2,2,1,5,4,1,2,185,20,2,2,23,3,2,1,1,4,4,42.175903320312,-83.480697631836
,,0,4,0,3,0,2,1,4,0,1,1,1,1,2,,,1,3,,,,,7,7,5,3,4,7,1,6,2,,,,,,,,,,5,5,7,2,5,1,4,5,3,,,,,,,,,,2,1,2,2,2,5,2,2,2,150,14,2,2,10,4,5,1,1,4,2,28.681198120117,-81.276298522949
,,0,1,,,0,4,0,3,1,2,1,3,,,1,4,0,2,,,1,1,4,4,3,1,4,5,7,2,6,4,2,1,3,2,2,1,5,5,,,,,,,,,,,,,,,,,,,2,1,2,2,1,3,2,4,1,90,20,1,1,18,5,8,1,1,4,2,45.778793334961,-119.52899932861
1,3,,,1,4,0,2,0,4,0,1,,,1,1,,,0,3,1,2,,,5,5,7,1,4,3,2,5,6,,,,,,,,,,,,,,,,,,,1,3,6,1,5,3,3,1,7,2,1,2,2,1,3,2,4,1,76,28,1,2,14,6,6,1,1,3,1,38.272399902344,-77.593200683594
0,1,0,3,1,4,0,2,1,2,0,4,1,1,1,3,,,,,,,,,7,4,7,5,6,4,2,1,3,,,,,,,,,,1,4,8,7,3,5,5,4,4,,,,,,,,,,2,1,2,2,2,3,4,5,1,160,19,1,2,34,6,3,1,1,4,3,35.390197753906,-82.372497558594
,,0,1,0,2,,,,,0,3,1,2,1,3,1,4,0,4,1,1,,,9,3,1,2,4,7,6,3,5,,,,,,,,,,3,5,1,1,5,3,3,5,3,,,,,,,,,,2,1,2,2,2,4,1,2,2,250,15,2,2,15,5,3,1,1,2,1,38.400405883789,-85.772499084473
0,3,0,4,0,1,,,0,2,,,,,1,4,1,2,,,1,1,1,3,7,3,2,5,7,4,1,3,6,1,2,2,1,4,5,5,1,4,,,,,,,,,,,,,,,,,,,2,1,1,2,1,5,2,2,2,190,23,2,2,48,5,5,1,1,5,4,48.36360168457,-121.98030090332
0,2,1,3,0,3,,,1,2,,,1,1,0,1,1,4,,,,,0,4,1,1,1,2,5,6,4,7,3,,,,,,,,,,9,9,9,9,9,9,9,9,9,,,,,,,,,,2,1,2,2,2,4,4,1,2,200,15,1,1,22,5,1,1,1,3,4,41.692596435547,-71.134101867676
1,1,1,3,0,1,0,4,0,2,,,,,0,3,1,4,1,2,,,,,6,2,4,5,7,2,3,6,1,5,4,5,1,5,5,5,5,4,,,,,,,,,,,,,,,,,,,2,3,2,2,1,7,2,2,2,190,20,2,2,11,4,5,1,1,3,2,34.136596679688,-83.783699035645
,,0,2,0,3,,,0,4,,,1,3,1,1,,,0,1,1,4,1,2,3,2,4,7,3,1,6,2,5,,,,,,,,,,,,,,,,,,,2,1,1,1,2,2,2,1,1,2,1,2,2,1,4,3,2,1,138,20,2,2,10,6,5,1,1,3,4,25.890396118164,-80.239196777344
1,4,0,4,0,1,0,2,1,2,0,3,1,3,1,1,,,,,,,,,7,3,6,1,4,7,3,5,2,5,2,2,9,5,5,5,5,6,,,,,,,,,,,,,,,,,,,2,1,2,2,2,6,2,3,2,154,17,2,2,22,5,9,1,1,3,4,42.165802001953,-70.95059967041
1,2,0,2,0,4,0,3,1,3,1,1,1,4,,,,,,,0,1,,,6,2,1,4,3,7,6,5,2,,,,,,,,,,5,5,1,1,9,3,9,5,5,,,,,,,,,,2,1,2,2,2,6,2,2,2,135,10,2,2,36,3,4,1,1,4,4,41.598495483398,-81.464302062988
0,3,0,4,1,4,0,1,1,3,0,2,1,1,1,2,,,,,,,,,4,1,2,4,3,7,5,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,1,2,1,2,2,2,6,2,2,2,140,13,2,2,15,7,5,1,1,3,4,39.470092773438,-87.402397155762
,,0,3,0,1,0,2,,,0,4,1,1,,,1,2,,,1,3,1,4,2,1,2,5,3,7,1,4,6,1,9,9,1,4,5,5,4,4,,,,,,,,,,,,,,,,,,,2,1,2,2,2,5,2,2,2,195,16,2,2,14,6,5,1,1,2,4,38.512100219727,-89.899803161621
,,0,2,0,3,0,1,0,4,1,4,1,1,,,1,2,,,,,1,3,4,2,3,6,5,1,2,4,7,,,,,,,,,,,,,,,,,,,3,5,3,5,2,1,3,5,2,2,3,2,2,2,2,1,5,1,284,17,2,2,18,6,4,1,2,1,1,39.952301025391,-75.163803100586
,,0,2,0,3,0,1,1,3,,,1,1,1,2,,,1,4,,,0,4,4,1,2,5,3,7,6,4,1,,,,,,,,,,5,5,8,8,5,8,3,5,5,,,,,,,,,,2,3,2,2,2,2,1,2,2,132,19,2,2,3,3,3,1,1,2,1,33.769393920898,-112.24819946289
,,0,3,0,4,0,2,,,0,1,1,2,1,1,,,1,3,1,4,,,7,2,5,1,3,7,6,2,4,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,2,1,2,2,1,4,1,2,2,190,24,2,2,6,4,6,1,1,4,5,38.914199829102,-104.77490234375
1,1,0,2,0,1,,,0,3,1,3,,,,,1,4,0,4,,,1,2,6,1,2,6,4,7,1,3,5,,,,,,,,,,3,5,5,2,1,3,4,4,3,,,,,,,,,,2,1,1,2,1,6,2,2,2,165,22,1,1,18,3,2,1,1,3,1,37.622192382812,-87.108299255371
1,1,0,1,0,4,,,0,3,0,2,1,4,1,3,,,,,1,2,,,2,1,3,6,5,7,1,4,2,1,6,6,1,5,9,9,1,9,,,,,,,,,,,,,,,,,,,2,1,1,2,2,5,2,2,2,150,18,1,2,28,3,2,1,1,3,1,40.779602050781,-96.700103759766
,,0,2,1,3,0,3,1,4,0,1,1,1,1,2,,,0,4,,,,,9,9,5,2,3,4,7,6,1,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,115,14,2,2,41,7,9,1,1,3,2,34.775695800781,-82.377700805664
,,0,2,0,3,,,0,4,0,1,,,1,2,1,3,,,1,4,1,1,7,7,1,4,2,7,5,3,6,1,7,7,1,7,5,5,1,7,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,1,1,2,135,19,2,2,10,5,3,1,1,4,2,26.212005615234,-80.266899108887
1,1,0,3,0,4,0,1,1,3,0,2,1,4,,,,,,,1,2,,,6,4,3,7,5,4,2,6,1,,,,,,,,,,3,5,8,1,7,3,7,5,3,,,,,,,,,,2,1,1,2,2,2,2,3,2,216,17,2,2,33,4,3,1,1,3,1,42.709106445312,-78.830101013184
,,0,2,0,4,0,1,,,0,3,,,1,3,1,2,1,4,1,1,,,4,2,2,4,5,7,6,1,3,,,,,,,,,,,,,,,,,,,2,7,5,1,5,2,9,3,6,2,1,2,2,2,4,5,1,2,225,19,2,2,5,5,3,1,1,3,1,33.735794067383,-118.29229736328
0,1,,,1,3,,,1,1,0,3,,,1,2,,,0,2,1,4,0,4,4,5,6,3,7,5,4,1,2,5,6,2,8,5,6,1,7,3,,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,2,3,1,120,18,1,1,48,4,4,1,6,1,2,45.653503417969,-122.66360473633
0,1,0,4,,,0,2,0,3,,,1,3,,,1,2,1,4,1,1,,,5,5,4,5,3,7,2,1,6,5,3,3,1,9,5,5,5,1,,,,,,,,,,,,,,,,,,,2,3,2,2,2,4,2,2,2,135,17,2,2,43,3,4,1,1,5,2,35.113296508789,-89.902099609375
,,0,1,0,4,0,2,0,3,,,1,3,1,4,,,,,1,2,1,1,4,2,4,6,2,7,3,1,5,,,,,,,,,,,,,,,,,,,2,1,1,1,1,8,5,2,1,2,1,2,2,2,3,1,1,2,140,12,2,2,36,7,3,1,1,2,1,40.757293701172,-82.579002380371
1,4,0,1,0,2,0,4,0,3,,,,,1,1,1,2,1,3,,,,,4,2,4,6,1,7,3,2,5,,,,,,,,,,3,3,1,5,3,1,3,5,3,,,,,,,,,,2,1,2,2,2,1,1,2,2,135,20,2,2,11,5,4,1,1,4,2,34.306701660156,-85.269996643066
0,2,0,4,,,,,1,1,0,1,1,3,0,3,,,1,4,1,2,,,6,3,6,4,5,3,1,7,2,,,,,,,,,,5,1,9,9,3,1,7,5,9,,,,,,,,,,2,1,2,2,2,2,2,4,1,200,21,2,2,44,5,5,1,1,5,2,32.720794677734,-97.16259765625
1,2,0,3,0,2,,,0,4,0,1,1,1,1,3,1,4,,,,,,,4,1,2,4,6,7,1,5,3,,,,,,,,,,3,3,2,2,3,3,3,3,3,,,,,,,,,,2,3,2,2,1,6,2,2,2,215,25,2,2,18,6,4,1,1,4,2,37.984100341797,-84.56120300293
1,4,0,1,0,2,0,4,0,3,,,1,1,1,3,,,1,2,,,,,4,4,2,7,4,6,5,3,1,,,,,,,,,,5,5,8,5,5,5,7,5,5,,,,,,,,,,2,1,2,2,2,5,1,1,2,186,19,2,2,10,5,2,1,1,1,1,39.043701171875,-77.487503051758
,,0,4,0,1,0,2,1,2,0,3,1,1,1,4,,,1,3,,,,,6,5,3,4,5,2,7,1,6,,,,,,,,,,,,,,,,,,,7,1,1,1,5,3,6,1,1,2,1,1,2,2,3,2,5,1,125,15,2,2,15,5,3,1,1,3,4,39.192306518555,-86.020698547363
1,2,0,1,0,2,0,4,1,1,0,3,1,3,,,,,,,,,1,4,6,2,2,3,5,7,4,6,1,7,9,9,1,4,5,5,7,4,,,,,,,,,,,,,,,,,,,2,1,2,2,2,7,2,2,2,195,20,2,2,43,4,2,1,1,2,4,35.798202514648,-86.435600280762
1,4,0,2,,,0,1,1,3,0,4,1,2,0,3,,,,,1,1,,,6,5,2,1,4,7,6,5,3,,,,,,,,,,,,,,,,,,,7,4,1,1,2,3,5,3,1,2,1,2,2,2,6,1,2,2,126,14,2,2,32,6,3,1,1,3,1,40.791900634766,-74.263999938965
,,0,1,1,2,,,0,2,0,4,1,3,0,3,1,4,,,1,1,,,4,3,1,4,6,7,2,3,5,5,3,6,8,4,1,5,9,3,,,,,,,,,,,,,,,,,,,2,1,2,2,2,6,2,2,2,160,16,2,2,31,4,5,1,1,5,2,41.084899902344,-74.387100219727
1,4,1,1,0,3,0,1,0,4,1,2,,,0,2,,,,,1,3,,,5,2,1,6,5,7,2,4,3,,,,,,,,,,,,,,,,,,,5,1,5,1,5,5,5,5,1,2,1,2,2,2,3,2,2,2,175,16,2,2,16,4,4,1,1,4,2,43.070602416992,-96.234397888184
0,3,0,2,,,0,4,1,4,,,1,3,,,,,0,1,1,1,1,2,6,7,2,5,6,4,1,7,3,,,,,,,,,,4,4,4,4,4,4,4,4,4,,,,,,,,,,2,1,2,2,2,2,2,4,2,140,16,2,2,41,2,6,1,1,3,1,33.560302734375,-79.044097900391
0,3,0,2,1,2,,,,,0,1,1,1,0,4,,,1,3,,,1,4,8,5,6,2,4,7,5,3,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,1,1,1,2,1,2,2,2,5,2,2,2,106,13,2,2,44,5,7,1,1,3,2,32.931701660156,-96.616203308105
0,2,,,0,3,0,1,1,4,0,4,1,3,1,1,,,1,2,,,,,6,1,2,3,7,5,1,6,4,,,,,,,,,,5,5,6,5,5,3,4,5,5,,,,,,,,,,2,1,2,2,1,2,2,3,1,175,19,2,2,39,3,3,1,1,3,4,35.362899780273,-84.294097900391
1,1,0,2,0,1,,,1,2,,,1,4,,,0,4,0,3,,,1,3,5,1,1,4,2,7,3,6,5,,,,,,,,,,6,5,6,9,6,3,9,5,3,,,,,,,,,,2,1,2,2,2,5,5,3,2,275,17,2,2,34,3,2,1,1,3,4,35.193603515625,-79.461303710938
,,0,3,1,4,0,1,,,0,4,1,3,,,1,1,0,2,,,1,2,9,9,6,1,3,5,7,4,2,3,6,1,4,5,8,1,5,7,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,5,1,119,16,1,1,23,3,1,1,1,1,4,42.395492553711,-83.13809967041
1,2,0,2,0,4,0,1,1,4,,,1,1,0,3,,,,,,,1,3,7,5,6,5,4,7,2,1,3,,,,,,,,,,,,,,,,,,,8,6,1,1,1,5,6,5,1,2,3,2,2,1,5,2,2,2,200,21,2,2,1,2,6,1,1,5,2,34.768600463867,-87.558296203613
